,Location,Attribute,Value,Year,Week
2567,Grace / Soda Springs,SWW,6.14,2021.0,25.0
2568,Burley / Rupert,SWW,6.41,2021.0,25.0
2571,Meridian,SWW,7.6,2021.0,25.0
2572,Nezperce / Craigmont,SWW,7.6,2021.0,25.0
2573,Lewiston,SWW,7.86,2021.0,25.0
2575,Rexburg / Ririe,SWW,,2021.0,18.0
2576,Idaho Falls,SWW,6.3,2021.0,18.0
2577,Blackfoot / Pocatello,SWW,6.3,2021.0,18.0
2578,Grace / Soda Springs,SWW,5.89,2021.0,18.0
2579,Burley / Rupert,SWW,,2021.0,18.0
2582,Meridian,SWW,7.0,2021.0,18.0
2583,Nezperce / Craigmont,SWW,7.35,2021.0,18.0
2584,Lewiston,SWW,7.61,2021.0,18.0
2586,Rexburg / Ririe,SWW,8.83,2022.0,39.0
2587,Idaho Falls,SWW,,2022.0,39.0
2588,Blackfoot / Pocatello,SWW,,2022.0,39.0
2589,Grace / Soda Springs,SWW,8.47,2022.0,39.0
2590,Burley / Rupert,SWW,,2022.0,39.0
2593,Meridian,SWW,8.3,2022.0,39.0
2594,Nezperce / Craigmont,SWW,8.55,2022.0,39.0
2595,Lewiston,SWW,8.84,2022.0,39.0
2597,Rexburg / Ririe,SWW,,2021.0,8.0
2598,Idaho Falls,SWW,,2021.0,8.0
2599,Blackfoot / Pocatello,SWW,,2021.0,8.0
2600,Grace / Soda Springs,SWW,5.57,2021.0,8.0
2601,Burley / Rupert,SWW,,2021.0,8.0
2604,Meridian,SWW,6.55,2021.0,8.0
2605,Nezperce / Craigmont,SWW,6.75,2021.0,8.0
2606,Lewiston,SWW,7.01,2021.0,8.0
2608,Rexburg / Ririe,SWW,,2021.0,38.0
2609,Idaho Falls,SWW,,2021.0,38.0
2610,Blackfoot / Pocatello,SWW,,2021.0,38.0
2611,Grace / Soda Springs,SWW,8.15,2021.0,38.0
2612,Burley / Rupert,SWW,7.96,2021.0,38.0
2615,Meridian,SWW,9.85,2021.0,38.0
2616,Nezperce / Craigmont,SWW,9.85,2021.0,38.0
2617,Lewiston,SWW,10.11,2021.0,38.0
2619,Rexburg / Ririe,SWW,,2022.0,23.0
2620,Idaho Falls,SWW,,2022.0,23.0
2621,Blackfoot / Pocatello,SWW,,2022.0,23.0
2622,Grace / Soda Springs,SWW,9.37,2022.0,23.0
2623,Burley / Rupert,SWW,,2022.0,23.0
2626,Meridian,SWW,10.25,2022.0,23.0
2627,Nezperce / Craigmont,SWW,10.45,2022.0,23.0
2628,Lewiston,SWW,10.71,2022.0,23.0
2630,Rexburg / Ririe,SWW,9.44,2022.0,10.0
2631,Idaho Falls,SWW,,2022.0,10.0
2632,Blackfoot / Pocatello,SWW,,2022.0,10.0
2633,Grace / Soda Springs,SWW,8.6,2022.0,10.0
2634,Burley / Rupert,SWW,,2022.0,10.0
2637,Meridian,SWW,10.8,2022.0,10.0
2638,Nezperce / Craigmont,SWW,10.85,2022.0,10.0
2639,Lewiston,SWW,11.11,2022.0,10.0
2641,Rexburg / Ririe,SWW,5.45,2021.0,12.0
2642,Idaho Falls,SWW,,2021.0,12.0
2643,Blackfoot / Pocatello,SWW,,2021.0,12.0
2644,Grace / Soda Springs,SWW,5.29,2021.0,12.0
2645,Burley / Rupert,SWW,5.25,2021.0,12.0
2648,Meridian,SWW,6.25,2021.0,12.0
2649,Nezperce / Craigmont,SWW,6.4,2021.0,12.0
2650,Lewiston,SWW,6.66,2021.0,12.0
2652,Rexburg / Ririe,SWW,,2021.0,7.0
2653,Idaho Falls,SWW,,2021.0,7.0
2654,Blackfoot / Pocatello,SWW,,2021.0,7.0
2655,Grace / Soda Springs,SWW,5.09,2021.0,7.0
2656,Burley / Rupert,SWW,5.25,2021.0,7.0
2659,Meridian,SWW,6.3,2021.0,7.0
2660,Nezperce / Craigmont,SWW,6.45,2021.0,7.0
2661,Lewiston,SWW,6.71,2021.0,7.0
2663,Rexburg / Ririe,SWW,9.2,2022.0,3.0
2664,Idaho Falls,SWW,,2022.0,3.0
2665,Blackfoot / Pocatello,SWW,,2022.0,3.0
2666,Grace / Soda Springs,SWW,9.05,2022.0,3.0
2667,Burley / Rupert,SWW,9.05,2022.0,3.0
2670,Meridian,SWW,10.0,2022.0,3.0
2671,Nezperce / Craigmont,SWW,10.1,2022.0,3.0
2672,Lewiston,SWW,10.36,2022.0,3.0
2674,Rexburg / Ririe,SWW,,2022.0,38.0
2675,Idaho Falls,SWW,,2022.0,38.0
2676,Blackfoot / Pocatello,SWW,,2022.0,38.0
2677,Grace / Soda Springs,SWW,8.24,2022.0,38.0
2678,Burley / Rupert,SWW,,2022.0,38.0
2681,Meridian,SWW,8.5,2022.0,38.0
2682,Nezperce / Craigmont,SWW,8.7,2022.0,38.0
2683,Lewiston,SWW,8.96,2022.0,38.0
2685,Rexburg / Ririe,SWW,,2021.0,26.0
2686,Idaho Falls,SWW,,2021.0,26.0
2687,Blackfoot / Pocatello,SWW,,2021.0,26.0
2688,Grace / Soda Springs,SWW,5.8,2021.0,26.0
2689,Burley / Rupert,SWW,6.9,2021.0,26.0
2692,Meridian,SWW,7.6,2021.0,26.0
2693,Nezperce / Craigmont,SWW,7.7,2021.0,26.0
2694,Lewiston,SWW,7.96,2021.0,26.0
2696,Rexburg / Ririe,SWW,9.95,2022.0,12.0
2697,Idaho Falls,SWW,,2022.0,12.0
2698,Blackfoot / Pocatello,SWW,,2022.0,12.0
2699,Grace / Soda Springs,SWW,,2022.0,12.0
2700,Burley / Rupert,SWW,,2022.0,12.0
2703,Meridian,SWW,10.5,2022.0,12.0
2704,Nezperce / Craigmont,SWW,10.6,2022.0,12.0
2705,Lewiston,SWW,10.86,2022.0,12.0
2707,Rexburg / Ririe,SWW,7.9,2021.0,37.0
2708,Idaho Falls,SWW,,2021.0,37.0
2709,Blackfoot / Pocatello,SWW,,2021.0,37.0
2710,Grace / Soda Springs,SWW,,2021.0,37.0
2711,Burley / Rupert,SWW,8.0,2021.0,37.0
2714,Meridian,SWW,9.85,2021.0,37.0
2715,Nezperce / Craigmont,SWW,9.95,2021.0,37.0
2716,Lewiston,SWW,10.21,2021.0,37.0
2718,Rexburg / Ririe,SWW,6.85,2022.0,30.0
2719,Idaho Falls,SWW,,2022.0,30.0
2720,Blackfoot / Pocatello,SWW,,2022.0,30.0
2721,Grace / Soda Springs,SWW,6.86,2022.0,30.0
2722,Burley / Rupert,SWW,,2022.0,30.0
2725,Meridian,SWW,7.9,2022.0,30.0
2726,Nezperce / Craigmont,SWW,8.2,2022.0,30.0
2727,Lewiston,SWW,8.46,2022.0,30.0
2729,Rexburg / Ririe,SWW,10.37,2022.0,21.0
2730,Idaho Falls,SWW,,2022.0,21.0
2731,Blackfoot / Pocatello,SWW,,2022.0,21.0
2732,Grace / Soda Springs,SWW,9.87,2022.0,21.0
2733,Burley / Rupert,SWW,,2022.0,21.0
2736,Meridian,SWW,10.9,2022.0,21.0
2737,Nezperce / Craigmont,SWW,10.6,2022.0,21.0
2738,Lewiston,SWW,10.86,2022.0,21.0
2740,Rexburg / Ririe,SWW,,2021.0,29.0
2741,Idaho Falls,SWW,,2021.0,29.0
2742,Blackfoot / Pocatello,SWW,,2021.0,29.0
2743,Grace / Soda Springs,SWW,6.57,2021.0,29.0
2744,Burley / Rupert,SWW,7.8,2021.0,29.0
2747,Meridian,SWW,8.2,2021.0,29.0
2748,Nezperce / Craigmont,SWW,8.1,2021.0,29.0
2749,Lewiston,SWW,8.36,2021.0,29.0
2751,Rexburg / Ririe,SWW,8.95,2021.0,45.0
2752,Idaho Falls,SWW,,2021.0,45.0
2753,Blackfoot / Pocatello,SWW,,2021.0,45.0
2754,Grace / Soda Springs,SWW,8.99,2021.0,45.0
2755,Burley / Rupert,SWW,8.9,2021.0,45.0
2758,Meridian,SWW,9.6,2021.0,45.0
2759,Nezperce / Craigmont,SWW,9.8,2021.0,45.0
2760,Lewiston,SWW,10.06,2021.0,45.0
2762,Rexburg / Ririe,SWW,8.0,2022.0,50.0
2763,Idaho Falls,SWW,,2022.0,50.0
2764,Blackfoot / Pocatello,SWW,,2022.0,50.0
2765,Grace / Soda Springs,SWW,7.2,2022.0,50.0
2766,Burley / Rupert,SWW,,2022.0,50.0
2769,Meridian,SWW,7.5,2022.0,50.0
2770,Nezperce / Craigmont,SWW,7.6,2022.0,50.0
2771,Lewiston,SWW,7.86,2022.0,50.0
2772,Rexburg / Ririe,SWW,,2020.0,46.0
2773,Idaho Falls,SWW,4.65,2020.0,46.0
2774,Blackfoot / Pocatello,SWW,4.65,2020.0,46.0
2775,Grace / Soda Springs,SWW,4.7,2020.0,46.0
2776,Burley / Rupert,SWW,,2020.0,46.0
2779,Nampa / Weiser,SWW,,2020.0,46.0
2780,Nezperce / Craigmont,SWW,5.25,2020.0,46.0
2781,Lewiston,SWW,5.51,2020.0,46.0
2783,Rexburg / Ririe,SWW,11.13,2022.0,20.0
2784,Idaho Falls,SWW,,2022.0,20.0
2785,Blackfoot / Pocatello,SWW,,2022.0,20.0
2786,Grace / Soda Springs,SWW,10.02,2022.0,20.0
2787,Burley / Rupert,SWW,,2022.0,20.0
2790,Meridian,SWW,11.1,2022.0,20.0
2791,Nezperce / Craigmont,SWW,11.25,2022.0,20.0
2792,Lewiston,SWW,11.51,2022.0,20.0
2794,Rexburg / Ririe,SWW,8.32,2021.0,40.0
2795,Idaho Falls,SWW,8.0,2021.0,40.0
2796,Blackfoot / Pocatello,SWW,8.0,2021.0,40.0
2797,Grace / Soda Springs,SWW,7.0,2021.0,40.0
2798,Burley / Rupert,SWW,7.6,2021.0,40.0
2801,Meridian,SWW,9.5,2021.0,40.0
2802,Nezperce / Craigmont,SWW,9.55,2021.0,40.0
2803,Lewiston,SWW,9.81,2021.0,40.0
2805,Rexburg / Ririe,SWW,6.61,2021.0,19.0
2806,Idaho Falls,SWW,,2021.0,19.0
2807,Blackfoot / Pocatello,SWW,,2021.0,19.0
2808,Grace / Soda Springs,SWW,5.97,2021.0,19.0
2809,Burley / Rupert,SWW,6.33,2021.0,19.0
2812,Meridian,SWW,7.4,2021.0,19.0
2813,Nezperce / Craigmont,SWW,7.5,2021.0,19.0
2814,Lewiston,SWW,7.76,2021.0,19.0
2816,Rexburg / Ririe,SWW,,2021.0,39.0
2817,Idaho Falls,SWW,,2021.0,39.0
2818,Blackfoot / Pocatello,SWW,,2021.0,39.0
2819,Grace / Soda Springs,SWW,7.0,2021.0,39.0
2820,Burley / Rupert,SWW,7.49,2021.0,39.0
2823,Meridian,SWW,8.75,2021.0,39.0
2824,Nezperce / Craigmont,SWW,8.85,2021.0,39.0
2825,Lewiston,SWW,9.11,2021.0,39.0
2827,Rexburg / Ririe,SWW,,2021.0,30.0
2828,Idaho Falls,SWW,,2021.0,30.0
2829,Blackfoot / Pocatello,SWW,,2021.0,30.0
2830,Grace / Soda Springs,SWW,6.77,2021.0,30.0
2831,Burley / Rupert,SWW,6.85,2021.0,30.0
2834,Meridian,SWW,8.3,2021.0,30.0
2835,Nezperce / Craigmont,SWW,8.1,2021.0,30.0
2836,Lewiston,SWW,8.36,2021.0,30.0
2838,Rexburg / Ririe,SWW,9.52,2021.0,46.0
2839,Idaho Falls,SWW,,2021.0,46.0
2840,Blackfoot / Pocatello,SWW,,2021.0,46.0
2841,Grace / Soda Springs,SWW,9.42,2021.0,46.0
2842,Burley / Rupert,SWW,9.15,2021.0,46.0
2845,Meridian,SWW,9.75,2021.0,46.0
2846,Nezperce / Craigmont,SWW,9.85,2021.0,46.0
2847,Lewiston,SWW,10.11,2021.0,46.0
2849,Rexburg / Ririe,SWW,,2021.0,21.0
2850,Idaho Falls,SWW,,2021.0,21.0
2851,Blackfoot / Pocatello,SWW,,2021.0,21.0
2852,Grace / Soda Springs,SWW,5.08,2021.0,21.0
2853,Burley / Rupert,SWW,5.5,2021.0,21.0
2856,Meridian,SWW,7.0,2021.0,21.0
2857,Nezperce / Craigmont,SWW,7.1,2021.0,21.0
2858,Lewiston,SWW,7.46,2021.0,21.0
2860,Rexburg / Ririe,SWW,,2021.0,5.0
2861,Idaho Falls,SWW,,2021.0,5.0
2862,Blackfoot / Pocatello,SWW,,2021.0,5.0
2863,Grace / Soda Springs,SWW,4.94,2021.0,5.0
2864,Burley / Rupert,SWW,5.15,2021.0,5.0
2867,Meridian,SWW,6.35,2021.0,5.0
2868,Nezperce / Craigmont,SWW,6.45,2021.0,5.0
2869,Lewiston,SWW,6.71,2021.0,5.0
2871,Rexburg / Ririe,SWW,5.0,2021.0,13.0
2872,Idaho Falls,SWW,5.05,2021.0,13.0
2873,Blackfoot / Pocatello,SWW,5.05,2021.0,13.0
2874,Grace / Soda Springs,SWW,4.98,2021.0,13.0
2875,Burley / Rupert,SWW,5.22,2021.0,13.0
2878,Meridian,SWW,5.7,2021.0,13.0
2879,Nezperce / Craigmont,SWW,5.9,2021.0,13.0
2880,Lewiston,SWW,5.9,2021.0,13.0
2882,Rexburg / Ririe,SWW,,2022.0,40.0
2883,Idaho Falls,SWW,,2022.0,40.0
2884,Blackfoot / Pocatello,SWW,,2022.0,40.0
2885,Grace / Soda Springs,SWW,8.51,2022.0,40.0
2886,Burley / Rupert,SWW,,2022.0,40.0
2889,Meridian,SWW,8.2,2022.0,40.0
2890,Nezperce / Craigmont,SWW,8.45,2022.0,40.0
2891,Lewiston,SWW,8.71,2022.0,40.0
2892,Rexburg / Ririe,SWW,,2022.0,19.0
2893,Idaho Falls,SWW,,2022.0,19.0
2894,Blackfoot / Pocatello,SWW,,2022.0,19.0
2895,Grace / Soda Springs,SWW,9.11,2022.0,19.0
2896,Burley / Rupert,SWW,,2022.0,19.0
2899,Meridian,SWW,10.0,2022.0,19.0
2900,Nezperce / Craigmont,SWW,10.1,2022.0,19.0
2901,Lewiston,SWW,10.36,2022.0,19.0
2903,Rexburg / Ririe,SWW,9.01,2021.0,44.0
2904,Idaho Falls,SWW,,2021.0,44.0
2905,Blackfoot / Pocatello,SWW,,2021.0,44.0
2906,Grace / Soda Springs,SWW,8.75,2021.0,44.0
2907,Burley / Rupert,SWW,8.63,2021.0,44.0
2910,Meridian,SWW,9.6,2021.0,44.0
2911,Nezperce / Craigmont,SWW,9.7,2021.0,44.0
2912,Lewiston,SWW,9.96,2021.0,44.0
2914,Rexburg / Ririe,SWW,,2020.0,47.0
2915,Idaho Falls,SWW,4.65,2020.0,47.0
2916,Blackfoot / Pocatello,SWW,4.65,2020.0,47.0
2917,Grace / Soda Springs,SWW,4.7,2020.0,47.0
2918,Burley / Rupert,SWW,,2020.0,47.0
2921,Nampa / Weiser,SWW,,2020.0,47.0
2922,Nezperce / Craigmont,SWW,5.25,2020.0,47.0
2923,Lewiston,SWW,5.51,2020.0,47.0
2925,Rexburg / Ririe,SWW,7.65,2022.0,35.0
2926,Idaho Falls,SWW,,2022.0,35.0
2927,Blackfoot / Pocatello,SWW,,2022.0,35.0
2928,Grace / Soda Springs,SWW,7.56,2022.0,35.0
2929,Burley / Rupert,SWW,,2022.0,35.0
2932,Meridian,SWW,7.95,2022.0,35.0
2933,Nezperce / Craigmont,SWW,8.2,2022.0,35.0
2934,Lewiston,SWW,8.46,2022.0,35.0
2936,Rexburg / Ririe,SWW,7.88,2022.0,34.0
2937,Idaho Falls,SWW,,2022.0,34.0
2938,Blackfoot / Pocatello,SWW,,2022.0,34.0
2939,Grace / Soda Springs,SWW,7.34,2022.0,34.0
2940,Burley / Rupert,SWW,,2022.0,34.0
2943,Meridian,SWW,7.5,2022.0,34.0
2944,Nezperce / Craigmont,SWW,7.7,2022.0,34.0
2945,Lewiston,SWW,7.96,2022.0,34.0
2947,Rexburg / Ririe,SWW,7.53,2022.0,32.0
2948,Idaho Falls,SWW,,2022.0,32.0
2949,Blackfoot / Pocatello,SWW,,2022.0,32.0
2950,Grace / Soda Springs,SWW,7.15,2022.0,32.0
2951,Burley / Rupert,SWW,,2022.0,32.0
2954,Meridian,SWW,7.7,2022.0,32.0
2955,Nezperce / Craigmont,SWW,7.95,2022.0,32.0
2956,Lewiston,SWW,8.21,2022.0,32.0
2958,Rexburg / Ririe,SWW,9.07,2022.0,7.0
2959,Idaho Falls,SWW,,2022.0,7.0
2960,Blackfoot / Pocatello,SWW,,2022.0,7.0
2961,Grace / Soda Springs,SWW,,2022.0,7.0
2962,Burley / Rupert,SWW,8.9,2022.0,7.0
2965,Meridian,SWW,10.0,2022.0,7.0
2966,Nezperce / Craigmont,SWW,10.1,2022.0,7.0
2967,Lewiston,SWW,10.36,2022.0,7.0
2969,Rexburg / Ririe,SWW,9.86,2022.0,8.0
2970,Idaho Falls,SWW,,2022.0,8.0
2971,Blackfoot / Pocatello,SWW,,2022.0,8.0
2972,Grace / Soda Springs,SWW,9.68,2022.0,8.0
2973,Burley / Rupert,SWW,,2022.0,8.0
2976,Meridian,SWW,10.0,2022.0,8.0
2977,Nezperce / Craigmont,SWW,10.15,2022.0,8.0
2978,Lewiston,SWW,10.41,2022.0,8.0
2980,Rexburg / Ririe,SWW,5.3,2021.0,10.0
2981,Idaho Falls,SWW,,2021.0,10.0
2982,Blackfoot / Pocatello,SWW,,2021.0,10.0
2983,Grace / Soda Springs,SWW,5.13,2021.0,10.0
2984,Burley / Rupert,SWW,5.44,2021.0,10.0
2987,Meridian,SWW,6.5,2021.0,10.0
2988,Nezperce / Craigmont,SWW,6.6,2021.0,10.0
2989,Lewiston,SWW,6.86,2021.0,10.0
2991,Rexburg / Ririe,SWW,10.1,2022.0,4.0
2992,Idaho Falls,SWW,,2022.0,4.0
2993,Blackfoot / Pocatello,SWW,,2022.0,4.0
2994,Grace / Soda Springs,SWW,9.04,2022.0,4.0
2995,Burley / Rupert,SWW,9.05,2022.0,4.0
2998,Meridian,SWW,9.85,2022.0,4.0
2999,Nezperce / Craigmont,SWW,9.95,2022.0,4.0
3000,Lewiston,SWW,10.21,2022.0,4.0
3002,Rexburg / Ririe,SWW,,2021.0,6.0
3003,Idaho Falls,SWW,,2021.0,6.0
3004,Blackfoot / Pocatello,SWW,,2021.0,6.0
3005,Grace / Soda Springs,SWW,5.02,2021.0,6.0
3006,Burley / Rupert,SWW,5.18,2021.0,6.0
3009,Meridian,SWW,6.4,2021.0,6.0
3010,Nezperce / Craigmont,SWW,6.68,2021.0,6.0
3011,Lewiston,SWW,6.45,2021.0,6.0
3013,Rexburg / Ririe,SWW,5.4,2021.0,3.0
3014,Idaho Falls,SWW,5.25,2021.0,3.0
3015,Blackfoot / Pocatello,SWW,5.25,2021.0,3.0
3016,Grace / Soda Springs,SWW,5.36,2021.0,3.0
3017,Burley / Rupert,SWW,5.55,2021.0,3.0
3020,Meridian,SWW,6.25,2021.0,3.0
3021,Nezperce / Craigmont,SWW,6.35,2021.0,3.0
3022,Lewiston,SWW,6.61,2021.0,3.0
3024,Rexburg / Ririe,SWW,5.33,2021.0,11.0
3025,Idaho Falls,SWW,,2021.0,11.0
3026,Blackfoot / Pocatello,SWW,,2021.0,11.0
3027,Grace / Soda Springs,SWW,5.07,2021.0,11.0
3028,Burley / Rupert,SWW,5.32,2021.0,11.0
3031,Meridian,SWW,6.5,2021.0,11.0
3032,Nezperce / Craigmont,SWW,6.6,2021.0,11.0
3033,Lewiston,SWW,6.86,2021.0,11.0
3035,Rexburg / Ririe,SWW,,2023.0,1.0
3036,Idaho Falls,SWW,,2023.0,1.0
3037,Blackfoot / Pocatello,SWW,,2023.0,1.0
3038,Grace / Soda Springs,SWW,7.6,2023.0,1.0
3039,Burley / Rupert,SWW,,2023.0,1.0
3042,Meridian,SWW,7.25,2023.0,1.0
3043,Nezperce / Craigmont,SWW,7.35,2023.0,1.0
3044,Lewiston,SWW,7.61,2023.0,1.0
3045,Rexburg / Ririe,SWW,8.4,2022.0,26.0
3046,Idaho Falls,SWW,,2022.0,26.0
3047,Blackfoot / Pocatello,SWW,,2022.0,26.0
3048,Grace / Soda Springs,SWW,8.01,2022.0,26.0
3049,Burley / Rupert,SWW,,2022.0,26.0
3052,Meridian,SWW,9.35,2022.0,26.0
3053,Nezperce / Craigmont,SWW,,2022.0,26.0
3054,Lewiston,SWW,,2022.0,26.0
3056,Rexburg / Ririe,SWW,,2021.0,4.0
3057,Idaho Falls,SWW,,2021.0,4.0
3058,Blackfoot / Pocatello,SWW,,2021.0,4.0
3059,Grace / Soda Springs,SWW,5.18,2021.0,4.0
3060,Burley / Rupert,SWW,5.26,2021.0,4.0
3063,Meridian,SWW,6.3,2021.0,4.0
3064,Nezperce / Craigmont,SWW,6.35,2021.0,4.0
3065,Lewiston,SWW,6.61,2021.0,4.0
3067,Rexburg / Ririe,SWW,8.45,2022.0,37.0
3068,Idaho Falls,SWW,,2022.0,37.0
3069,Blackfoot / Pocatello,SWW,,2022.0,37.0
3070,Grace / Soda Springs,SWW,8.08,2022.0,37.0
3071,Burley / Rupert,SWW,,2022.0,37.0
3074,Meridian,SWW,8.4,2022.0,37.0
3075,Nezperce / Craigmont,SWW,8.7,2022.0,37.0
3076,Lewiston,SWW,8.96,2022.0,37.0
3078,Rexburg / Ririe,SWW,,2022.0,6.0
3079,Idaho Falls,SWW,,2022.0,6.0
3080,Blackfoot / Pocatello,SWW,,2022.0,6.0
3081,Grace / Soda Springs,SWW,9.08,2022.0,6.0
3082,Burley / Rupert,SWW,9.06,2022.0,6.0
3085,Meridian,SWW,10.0,2022.0,6.0
3086,Nezperce / Craigmont,SWW,10.1,2022.0,6.0
3087,Lewiston,SWW,10.36,2022.0,6.0
3089,Rexburg / Ririe,SWW,,2022.0,1.0
3090,Idaho Falls,SWW,,2022.0,1.0
3091,Blackfoot / Pocatello,SWW,,2022.0,1.0
3092,Grace / Soda Springs,SWW,8.86,2022.0,1.0
3093,Burley / Rupert,SWW,8.7,2022.0,1.0
3096,Meridian,SWW,9.7,2022.0,1.0
3097,Nezperce / Craigmont,SWW,9.8,2022.0,1.0
3098,Lewiston,SWW,10.06,2022.0,1.0
3100,Rexburg / Ririe,SWW,4.95,2020.0,42.0
3101,Idaho Falls,SWW,4.7,2020.0,42.0
3102,Blackfoot / Pocatello,SWW,4.7,2020.0,42.0
3103,Grace / Soda Springs,SWW,4.58,2020.0,42.0
3104,Burley / Rupert,SWW,,2020.0,42.0
3107,Nampa / Weiser,SWW,,2020.0,42.0
3108,Nezperce / Craigmont,SWW,4.95,2020.0,42.0
3109,Lewiston,SWW,5.21,2020.0,42.0
3111,Rexburg / Ririe,SWW,,2022.0,5.0
3112,Idaho Falls,SWW,,2022.0,5.0
3113,Blackfoot / Pocatello,SWW,,2022.0,5.0
3114,Grace / Soda Springs,SWW,,2022.0,5.0
3115,Burley / Rupert,SWW,8.7,2022.0,5.0
3118,Meridian,SWW,9.75,2022.0,5.0
3119,Nezperce / Craigmont,SWW,9.85,2022.0,5.0
3120,Lewiston,SWW,10.11,2022.0,5.0
3122,Rexburg / Ririe,SWW,6.63,2021.0,24.0
3123,Idaho Falls,SWW,6.6,2021.0,24.0
3124,Blackfoot / Pocatello,SWW,6.6,2021.0,24.0
3125,Grace / Soda Springs,SWW,6.01,2021.0,24.0
3126,Burley / Rupert,SWW,6.2,2021.0,24.0
3129,Meridian,SWW,7.5,2021.0,24.0
3130,Nezperce / Craigmont,SWW,7.5,2021.0,24.0
3131,Lewiston,SWW,7.76,2021.0,24.0
3133,Rexburg / Ririe,SWW,,2021.0,43.0
3134,Idaho Falls,SWW,,2021.0,43.0
3135,Blackfoot / Pocatello,SWW,,2021.0,43.0
3136,Grace / Soda Springs,SWW,8.53,2021.0,43.0
3137,Burley / Rupert,SWW,8.56,2021.0,43.0
3140,Meridian,SWW,9.6,2021.0,43.0
3141,Nezperce / Craigmont,SWW,9.75,2021.0,43.0
3142,Lewiston,SWW,10.01,2021.0,43.0
3155,Rexburg / Ririe,SWW,9.64,2022.0,14.0
3156,Idaho Falls,SWW,,2022.0,14.0
3157,Blackfoot / Pocatello,SWW,,2022.0,14.0
3158,Grace / Soda Springs,SWW,9.5,2022.0,14.0
3159,Burley / Rupert,SWW,,2022.0,14.0
3162,Meridian,SWW,10.0,2022.0,14.0
3163,Nezperce / Craigmont,SWW,10.1,2022.0,14.0
3164,Lewiston,SWW,10.36,2022.0,14.0
3166,Rexburg / Ririe,SWW,8.22,2022.0,44.0
3167,Idaho Falls,SWW,,2022.0,44.0
3168,Blackfoot / Pocatello,SWW,,2022.0,44.0
3169,Grace / Soda Springs,SWW,7.86,2022.0,44.0
3170,Burley / Rupert,SWW,,2022.0,44.0
3173,Meridian,SWW,,2022.0,44.0
3174,Nezperce / Craigmont,SWW,7.9,2022.0,44.0
3175,Lewiston,SWW,8.16,2022.0,44.0
3176,Rexburg / Ririe,SWW,,2021.0,17.0
3177,Idaho Falls,SWW,6.05,2021.0,17.0
3178,Blackfoot / Pocatello,SWW,6.05,2021.0,17.0
3179,Grace / Soda Springs,SWW,5.87,2021.0,17.0
3180,Burley / Rupert,SWW,6.24,2021.0,17.0
3183,Meridian,SWW,7.0,2021.0,17.0
3184,Nezperce / Craigmont,SWW,7.0,2021.0,17.0
3185,Lewiston,SWW,7.26,2021.0,17.0
3187,Rexburg / Ririe,SWW,9.5,2022.0,13.0
3188,Idaho Falls,SWW,,2022.0,13.0
3189,Blackfoot / Pocatello,SWW,,2022.0,13.0
3190,Grace / Soda Springs,SWW,9.14,2022.0,13.0
3191,Burley / Rupert,SWW,,2022.0,13.0
3194,Meridian,SWW,9.75,2022.0,13.0
3195,Nezperce / Craigmont,SWW,9.85,2022.0,13.0
3196,Lewiston,SWW,10.11,2022.0,13.0
3198,Rexburg / Ririe,SWW,,2021.0,20.0
3199,Idaho Falls,SWW,,2021.0,20.0
3200,Blackfoot / Pocatello,SWW,,2021.0,20.0
3201,Grace / Soda Springs,SWW,5.44,2021.0,20.0
3202,Burley / Rupert,SWW,5.9,2021.0,20.0
3205,Meridian,SWW,7.3,2021.0,20.0
3206,Nezperce / Craigmont,SWW,7.5,2021.0,20.0
3207,Lewiston,SWW,7.76,2021.0,20.0
3220,Rexburg / Ririe,SWW,,2021.0,16.0
3221,Idaho Falls,SWW,,2021.0,16.0
3222,Blackfoot / Pocatello,SWW,,2021.0,16.0
3223,Grace / Soda Springs,SWW,5.32,2021.0,16.0
3224,Burley / Rupert,SWW,,2021.0,16.0
3227,Meridian,SWW,6.35,2021.0,16.0
3228,Nezperce / Craigmont,SWW,6.5,2021.0,16.0
3229,Lewiston,SWW,6.76,2021.0,16.0
3231,Rexburg / Ririe,SWW,10.34,2022.0,17.0
3232,Idaho Falls,SWW,,2022.0,17.0
3233,Blackfoot / Pocatello,SWW,,2022.0,17.0
3234,Grace / Soda Springs,SWW,9.08,2022.0,17.0
3235,Burley / Rupert,SWW,,2022.0,17.0
3238,Meridian,SWW,10.25,2022.0,17.0
3239,Nezperce / Craigmont,SWW,10.61,2022.0,17.0
3240,Lewiston,SWW,10.38,2022.0,17.0
3242,Rexburg / Ririe,SWW,,2020.0,43.0
3243,Idaho Falls,SWW,,2020.0,43.0
3244,Blackfoot / Pocatello,SWW,,2020.0,43.0
3245,Grace / Soda Springs,SWW,4.95,2020.0,43.0
3246,Burley / Rupert,SWW,,2020.0,43.0
3249,Nampa / Weiser,SWW,,2020.0,43.0
3250,Nezperce / Craigmont,SWW,5.25,2020.0,43.0
3251,Lewiston,SWW,5.51,2020.0,43.0
3253,Rexburg / Ririe,SWW,,2022.0,18.0
3254,Idaho Falls,SWW,,2022.0,18.0
3255,Blackfoot / Pocatello,SWW,,2022.0,18.0
3256,Grace / Soda Springs,SWW,9.11,2022.0,18.0
3257,Burley / Rupert,SWW,,2022.0,18.0
3260,Meridian,SWW,10.0,2022.0,18.0
3261,Nezperce / Craigmont,SWW,10.1,2022.0,18.0
3262,Lewiston,SWW,10.36,2022.0,18.0
